Iteration;Function Value
0;20833
10;19279
20;18278
30;17332
40;16504
50;15959
60;15498
70;15029
80;14706
90;14327
100;14061
110;13900
120;13900
130;13900
140;13900
150;13900
160;13900
170;13900
180;13900
190;13900
200;13900
210;13900
220;13900
230;13900
240;13900
250;13900
260;13900
270;13900
280;13900
290;13724
300;13724
310;13724
320;13724
330;13724
340;13724
350;13724
360;13724
370;13724
380;13724
390;13724
400;13724
410;13724
420;13724
430;13724
440;13724
450;13724
460;13724
470;13724
480;13724
490;13724
500;13724
510;13724
520;13724
530;13724
540;13724
550;13724
560;13724
570;13724
580;13724
590;13724
600;13724
610;13724
620;13724
630;13724
640;13724
650;13724
660;13724
670;13724
680;13724
690;13724
700;13724
710;13724
720;13724
730;13724
740;13724
750;13724
760;13724
770;13724
780;13724
790;13724
800;13724
810;13724
820;13724
830;13724
840;13724
850;13724
860;13724
870;13724
880;13724
890;13724
900;13724
910;13724
920;13724
930;13724
940;13724
950;13724
960;13724
970;13724
980;13724
990;13724
1000;13724
